country_iso,year,gdp,gdp_percap
abw,1986,405463417.11746,6472.39870887477
abw,1987,487602457.746416,7885.15892730063
abw,1988,596423607.114715,9765.90920740626
abw,1989,695304363.031101,11392.2691499861
abw,1990,764887117.194486,12306.7176791493
abw,1991,872138715.083799,13495.79430054
abw,1992,958463184.357542,14045.4745656146
abw,1993,1082979720.67039,14938.6815734932
abw,1994,1245688268.15642,16239.9878515928
abw,1995,1320474860.3352,16439.3563609282
abw,1996,1379960893.85475,16583.8758560136
abw,1997,1531944134.07821,17927.9594391833
abw,1998,1665100558.65922,19077.6874273513
abw,1999,1722798882.68156,19355.3335357274
abw,2000,1873452513.96648,20617.7504673528
abw,2001,1920111731.84358,20670.3670051627
abw,2002,1941340782.12291,20436.8871286309
abw,2003,2021229050.27933,20833.976357295
abw,2004,2228491620.11173,22568.3749910043
abw,2005,2330726256.98324,23300.7383630907
abw,2006,2424581005.58659,24046.2263769373
abw,2007,2615083798.88268,25834.1117784233
abw,2008,2745251396.64804,27083.6348596914
abw,2009,2498882681.56425,24631.1820522439
abw,2010,2390502793.29609,23513.527696809
abw,2011,2549720670.39106,24985.0139185797
abw,2012,2534636871.50838,24712.4932628907
abw,2013,2727849720.67039,26441.6199357378
abw,2014,2790849162.01117,26893.0115056581
abw,2015,2962905027.93296,28396.9084228616
abw,2016,2983636871.50838,28452.1706146796
abw,2017,3092430167.59777,29350.8050189137
abw,2018,3202188606.92893,30253.2793580195
afg,1960,537777811.111111,59.7732337032148
afg,1961,548888895.555556,59.8608999923829
afg,1962,546666677.777778,58.4580086983139
afg,1963,751111191.111111,78.7064287776753
afg,1964,800000044.444444,82.0953065340517
afg,1965,1006666637.77778,101.108325163758
afg,1966,1399999966.66667,137.594297961115
afg,1967,1673333417.77778,160.898434161304
afg,1968,1373333366.66667,129.108310965006
afg,1969,1408888922.22222,129.329760364199
afg,1970,1748886595.55556,156.518771348706
afg,1971,1831108971.11111,159.567508996258
afg,1972,1595555475.55556,135.317227981591
afg,1973,1733333264.44444,143.144649500081
afg,1974,2155555497.77778,173.653624742026
afg,1975,2366666615.55556,186.510838346447
afg,1976,2555555566.66667,197.445507551145
afg,1977,2953333417.77778,224.225001566116
afg,1978,3300000108.88889,247.354087806417
afg,1979,3697940409.61098,275.738115377232
afg,1980,3641723321.99546,272.655510200686
afg,1981,3478787909.09091,264.111197144336
afg,2002,4055179566.34981,179.426579211394
afg,2003,4515558808.10994,190.683814295088
afg,2004,5226778808.89209,211.382074198939
afg,2005,6209137624.77181,242.031313175022
afg,2006,6971285594.68013,263.733601866274
afg,2007,9747879531.86311,359.693157866109
afg,2008,10109305182.952,364.6635420423
afg,2009,12416161048.8412,437.26874023514
afg,2010,15856678596.148,543.306526178281
afg,2011,17805113118.8938,591.190030208565
afg,2012,19907317065.6666,638.845851607289
afg,2013,20146404996.223,624.315454506615
afg,2014,20497126770.1335,614.223342360392
afg,2015,19134211763.859,556.007220861443
afg,2016,18116562464.9088,512.012778129357
afg,2017,18753469630.2586,516.679862210543
afg,2018,18053228578.8878,485.668418729808
afg,2019,18799450742.7823,494.179349886029
afg,2020,20116137325.8206,516.747870807558
ago,1980,5930503400.83228,710.981562903613
ago,1981,5550483035.90815,642.381478884403
ago,1982,5550483035.90815,619.959903355897
ago,1983,5784341596.36339,623.440047272955
ago,1984,6131475065.23832,637.715098047035
ago,1985,7553560459.10428,758.237880623313
ago,1986,7072063345.44786,685.269753309736
ago,1987,8083872012.47326,756.262065276746
ago,1988,8769250549.73596,792.303048633943
ago,1989,10201099039.5655,890.553592242814
ago,1990,11228764963.1618,947.704262071309
ago,1991,10603784541.197,865.69272959239
ago,1992,8307810973.58848,656.362015240656
ago,1993,5768720421.61367,441.200841971444
ago,1994,4438321017.39068,328.673148671386
ago,1995,5538749259.94714,397.179479250907
ago,1996,7526446605.51712,522.643698386589
ago,1997,7648377412.83277,514.295154058547
ago,1998,6506229607.29432,423.593687810511
ago,1999,6152936539.21955,387.785124062555
ago,2000,9129634978.33773,556.838631674927
ago,2001,8936063723.20121,527.333528536691
ago,2002,15285594828.418,872.494441791273
ago,2003,17812705294.325,982.96100777685
ago,2004,23552052407.5488,1255.56451325546
ago,2005,36970918699.2523,1902.42214975937
ago,2006,52381006892.038,2599.56594793067
ago,2007,65266452081.386,3121.99608528081
ago,2008,88538611205.1433,4080.94103372417
ago,2009,70307163678.238,3122.7815987074
ago,2010,83799496611.2004,3587.88364462837
ago,2011,111789686464.441,4615.46821863819
ago,2012,128052853643.106,5100.09702685927
ago,2013,136709862831.194,5254.88112606683
ago,2014,145712200312.505,5408.41170002082
ago,2015,116193649124.151,4166.97983330278
ago,2016,101123851090.455,3506.07312818832
ago,2017,122123822333.59,4095.8100568707
ago,2018,101353230784.594,3289.64399476678
ago,2019,89417190341.2533,2809.62608839129
ago,2020,58375976292.9678,1776.16686789531
alb,1984,1857338011.85488,639.484735848211
alb,1985,1897050133.42015,639.865909445734
alb,1986,2097326250,693.873474633887
alb,1987,2080796250,674.793383069492
alb,1988,2051236250,652.774321396566
alb,1989,2253090000,697.995596576519
alb,1990,2028553750,617.230435515505
alb,1991,1099559027.77778,336.586994504629
alb,1992,652174990.837304,200.852219772323
alb,1993,1185315468.46295,367.279225077581
alb,1994,1880951520.3972,586.416339644261
alb,1995,2392764853.42107,750.604449178826
alb,1996,3199641335.93751,1009.97727483821
alb,1997,2258513974.0968,717.380047745673
alb,1998,2545964540.88383,813.789396580449
alb,1999,3212121650.97755,1033.24253162418
alb,2000,3480355258.04122,1126.68334010717
alb,2001,3922100793.5403,1281.6598256178
alb,2002,4348068242.19512,1425.12421860142
alb,2003,5611496257.14231,1846.12012081207
alb,2004,7184685781.51876,2373.58129170055
alb,2005,8052073539.38058,2673.78658429559
alb,2006,8896072918.9814,2972.74292399799
alb,2007,10677324144.4289,3595.03805682893
alb,2008,12881353507.8539,4370.5399247769
alb,2009,12044208085.864,4114.13489916342
alb,2010,11926922828.9911,4094.34838574494
alb,2011,12890764531.3284,4437.14261222684
alb,2012,12319830437.3467,4247.63004748194
alb,2013,12776220507.0162,4413.06200528903
alb,2014,13228147516.1168,4578.63320812155
alb,2015,11386850129.8411,3952.80253807527
alb,2016,11861199830.8396,4124.05538986272
alb,2017,13019689336.6919,4531.0193737689
alb,2018,15156432309.8977,5287.66369446913
alb,2019,15400242874.8812,5395.65953185375
alb,2020,14887629268.2927,5246.09634560989
and,1970,78619206.0850963,3238.69026097204
and,1971,89409820.3592814,3496.5320229667
and,1972,113408231.944085,4218.27159918486
and,1973,150820102.798401,5342.16856044208
and,1974,186558696.279204,6320.80963168572
and,1975,220127246.376812,7169.10100559556
and,1976,227281024.620741,7151.24990940599
and,1977,254020153.340635,7751.84330741357
and,1978,308008897.569444,9127.81227979624
and,1979,411578334.159643,11818.4733427033
and,1980,446416105.825017,12378.7845111338
and,1981,388958731.302938,10372.786050001
and,1982,375895956.383462,9610.02061570912
and,1983,327861832.946636,8025.20764054036
and,1984,330070689.298282,7728.90669456943
and,1985,346737964.774951,7775.61421691636
and,1986,482000594.03588,10361.1477651737
and,1987,611316399.407088,12615.1261769143
and,1988,721425939.15155,14304.6405954742
and,1989,795449332.396346,15165.2812551732
and,1990,1029048481.88051,18878.8523130643
and,1991,1106928582.86629,19534.2636301538
and,1992,1210013651.87713,20549.8055751695
and,1993,1007025755.00065,16515.6583953924
and,1994,1017549124.33238,16235.0680377239
and,1995,1178738991.19295,18458.1739929996
and,1996,1223945356.62682,19016.2881877293
and,1997,1180597272.72727,18355.6278604321
and,1998,1211932397.81713,18895.110661321
and,1999,1239876305.13531,19262.3089910407
and,2000,1429049198.45218,21854.2468030614
and,2001,1546926174.49664,22970.5122133619
and,2002,1755910031.99699,25067.2400639132
and,2003,2361726862.30248,32272.8458909877
and,2004,2894921777.99851,37966.1872524395
and,2005,3159905484.39249,40064.2249292197
and,2006,3456442102.622,42674.7589681092
and,2007,3952600602.24473,47804.8499340211
and,2008,4085630584.44412,48719.6587699036
and,2009,3674409558.21061,43504.2156523202
and,2010,3449966856.68832,40850.2481432297
and,2011,3629203786.19154,43334.8114127088
